work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,data engineer  (remote),ml/ai,eur,184506,172184,de,ex,ft,hybrid,mx,s
2022,data analyst,ml/ai,eur,60341,109297,mx,se,ct,hybrid,cn,l
2022,data scientist,data science,jpy,137845,138327,jp,se,ft,hybrid,uk,s
2020,data analyst  in office,unknown,unknown,176079,169957,de,unknown,fl,hybrid,us,unknown
2022,data engineer,analysis,gbp,129878,162448,cn,ex,pt,hybrid,cn,s
2020,data analyst  in office,data science,inr,187871,167011,jp,en,fl,hybrid,jp,l
2022,statistician  in office,data science,eur,85820,163918,uk,en,pt,hybrid,in,m
2022,machine learning engineer  in office,analysis,inr,176746,102353,jp,se,pt,remote,in,s
2022,data scientist,ml/ai,eur,176498,37430,uk,mi,ct,in-person,in,m
2020,statistician  in office,analysis,jpy,74791,187400,de,en,ft,hybrid,uk,m
2020,statistician  in office,analysis,jpy,33255,172223,de,en,ct,in-person,uk,s
2021,data engineer  in office,analysis,jpy,194898,188691,uk,ex,ft,in-person,in,m
2022,machine learning engineer,engineering,gbp,34944,64484,in,en,ct,remote,in,s
2021,machine learning engineer,ml/ai,gbp,198898,154506,cn,en,ct,in-person,us,l
2021,data scientist,engineering,eur,60497,188736,jp,se,pt,in-person,de,l
2020,data engineer,engineering,us dolars,57723,167852,cn,se,ct,hybrid,cn,s
2020,data scientist  (remote),data science,gbp,196359,58604,cn,ex,ct,hybrid,cn,s
2021,data analyst,analysis,eur,41845,137385,us,ex,ft,in-person,us,m
2022,statistician  in office,analysis,inr,119833,47762,de,mi,ct,hybrid,in,s
2020,data scientist,engineering,jpy,123039,149272,jp,en,pt,remote,mx,m
2022,statistician  (remote),data science,jpy,85569,184837,cn,se,ct,in-person,uk,l
2022,data engineer  (remote),data science,jpy,111434,198115,jp,se,fl,in-person,uk,s
2021,data analyst  (remote),data science,eur,186535,119230,cn,en,fl,remote,in,l
2021,data engineer,unknown,unknown,30744,171628,de,unknown,ft,remote,de,unknown
2021,data analyst  (remote),engineering,gbp,197354,109091,cn,se,ft,remote,jp,l
2021,data analyst  (remote),ml/ai,inr,82082,144919,uk,ex,fl,remote,jp,s
2020,statistician  (remote),data science,jpy,106407,160731,de,se,ct,in-person,us,s
2020,data engineer,data science,eur,109072,40004,jp,se,ct,hybrid,cn,m
2021,data engineer  (remote),data science,inr,94766,133726,mx,mi,ft,hybrid,de,m
2020,data scientist  (remote),analysis,jpy,95711,181882,in,se,pt,hybrid,jp,s
2021,data engineer  in office,engineering,us dolars,33217,30247,cn,en,ct,hybrid,de,m
2022,data scientist  in office,analysis,jpy,191431,181834,uk,en,fl,remote,uk,s
2022,machine learning engineer  in office,ml/ai,gbp,142000,141902,de,en,pt,hybrid,uk,s
2022,machine learning engineer  (remote),analysis,inr,83509,75995,us,ex,pt,hybrid,mx,l
2022,data engineer,analysis,us dolars,72354,91969,mx,ex,pt,in-person,in,m
2020,data engineer  in office,data science,us dolars,68570,59052,de,mi,ft,hybrid,jp,l
2022,data scientist,ml/ai,gbp,37034,79214,mx,se,pt,remote,jp,s
2022,data analyst  in office,ml/ai,inr,46263,195391,jp,en,ft,hybrid,uk,m
2022,data scientist  in office,unknown,unknown,105348,98858,jp,unknown,ct,remote,mx,unknown
2020,machine learning engineer  in office,unknown,unknown,115275,70765,us,unknown,pt,in-person,mx,unknown
2021,data scientist,data science,jpy,187997,185942,uk,se,fl,remote,cn,m
2020,data analyst,engineering,eur,49575,173538,jp,en,fl,hybrid,us,s
2021,data engineer  in office,analysis,us dolars,52231,75284,uk,ex,ft,in-person,jp,s
2021,data scientist,ml/ai,inr,106935,80034,uk,se,ft,hybrid,uk,m
2022,machine learning engineer  in office,analysis,inr,53100,63161,de,en,ct,hybrid,mx,l
2021,machine learning engineer  (remote),data science,jpy,171840,83565,uk,mi,pt,remote,uk,l
2020,data engineer  (remote),data science,inr,80697,91314,cn,se,ft,hybrid,de,l
2020,data scientist  (remote),analysis,jpy,41357,149378,jp,mi,ft,hybrid,de,l
2021,data analyst,ml/ai,us dolars,186018,81929,jp,en,ct,in-person,cn,l
2022,data scientist  in office,analysis,us dolars,135912,129209,mx,ex,pt,remote,us,m
2020,statistician  in office,data science,us dolars,85149,184534,uk,mi,ft,in-person,mx,l
2022,machine learning engineer,data science,eur,35566,148409,in,mi,pt,in-person,jp,m
2021,data analyst  in office,engineering,eur,152474,178028,de,mi,pt,remote,us,s
2021,data analyst  (remote),analysis,us dolars,71576,112563,in,se,pt,in-person,mx,m
2020,data analyst  in office,engineering,inr,83318,143212,mx,en,fl,remote,us,s
2021,machine learning engineer,engineering,jpy,99550,135317,uk,mi,pt,in-person,de,m
2020,data scientist  in office,ml/ai,gbp,157059,75602,mx,mi,fl,remote,cn,m
2021,data engineer  in office,ml/ai,jpy,81408,166677,jp,mi,pt,remote,uk,s
2020,data scientist  (remote),data science,gbp,109149,106213,de,ex,pt,in-person,in,m
2022,data engineer,analysis,gbp,70167,178010,uk,mi,pt,hybrid,uk,s
2021,data scientist  in office,data science,gbp,79545,82545,us,ex,ft,in-person,uk,m
2020,data analyst,analysis,us dolars,143927,138720,uk,en,fl,remote,uk,l
2020,statistician  in office,data science,eur,53386,45009,us,ex,pt,in-person,us,m
2021,data analyst  in office,ml/ai,inr,89273,60246,in,ex,fl,hybrid,de,l
2020,data analyst  (remote),data science,gbp,142312,58185,uk,se,pt,remote,de,l
2022,statistician,analysis,us dolars,160126,116488,cn,ex,fl,remote,in,s
2020,data analyst,data science,gbp,37509,76642,jp,en,ft,hybrid,jp,m
2021,data analyst  (remote),analysis,jpy,106607,39185,in,en,ct,hybrid,uk,s
2022,statistician  (remote),data science,eur,142385,94366,uk,mi,ft,remote,uk,l
2022,statistician,analysis,eur,93305,180915,uk,se,ct,remote,in,m
2021,data scientist  (remote),data science,gbp,131085,47505,jp,ex,ct,hybrid,us,s
2020,data engineer  in office,data science,eur,72851,58022,jp,se,ct,hybrid,uk,s
2021,statistician,data science,jpy,106910,177511,mx,mi,fl,remote,in,s
2022,statistician  (remote),engineering,inr,64407,110196,us,se,fl,in-person,us,l
2021,machine learning engineer,analysis,jpy,76606,104385,us,ex,ft,in-person,us,s
2020,statistician  in office,ml/ai,eur,137277,100272,us,en,fl,in-person,cn,m
2022,data engineer  (remote),data science,inr,160204,196449,mx,se,ft,hybrid,mx,m
2020,data analyst  in office,ml/ai,us dolars,40515,175939,in,mi,ft,in-person,cn,l
2022,data analyst  (remote),unknown,unknown,130578,161866,uk,unknown,ft,hybrid,cn,unknown
2020,data analyst,ml/ai,inr,122345,113481,in,se,fl,in-person,uk,m
2022,machine learning engineer  in office,unknown,unknown,171902,88527,jp,unknown,ft,remote,mx,unknown
2021,statistician  in office,ml/ai,inr,90631,176441,cn,ex,fl,hybrid,us,s
2020,data analyst  in office,data science,us dolars,130784,53807,in,se,ft,remote,uk,m
2020,data analyst  in office,ml/ai,inr,167871,167867,us,mi,fl,remote,de,m
2020,statistician  (remote),data science,us dolars,175400,192135,jp,ex,fl,hybrid,jp,m
2021,data analyst  in office,engineering,inr,173751,199332,in,en,pt,in-person,jp,l
2020,machine learning engineer  (remote),engineering,inr,51058,171221,uk,se,fl,hybrid,de,s
2022,data engineer  (remote),ml/ai,inr,156226,122205,us,ex,ft,in-person,mx,s
2022,data engineer,analysis,us dolars,76696,187400,mx,en,ct,hybrid,uk,l
2022,statistician,ml/ai,jpy,68872,133303,in,en,fl,hybrid,in,m
2022,data engineer  (remote),analysis,us dolars,84971,99098,jp,ex,ct,remote,us,l
2021,data engineer  in office,ml/ai,us dolars,112083,146382,cn,ex,ft,hybrid,de,m
2020,data scientist  in office,engineering,inr,53306,194695,uk,ex,pt,hybrid,cn,l
2021,statistician  (remote),ml/ai,gbp,189282,149443,cn,en,fl,remote,de,s
2020,statistician  in office,ml/ai,gbp,75693,197461,jp,ex,ct,in-person,de,l
2020,data engineer  (remote),analysis,gbp,58239,165278,jp,se,pt,in-person,mx,l
2020,data engineer,engineering,us dolars,123366,132900,jp,en,pt,hybrid,mx,m
2021,data engineer  in office,analysis,inr,98917,159611,cn,se,fl,remote,de,m
2020,machine learning engineer  in office,ml/ai,gbp,130368,50897,de,se,ct,in-person,jp,m
2021,data analyst  in office,data science,eur,168519,165442,uk,ex,fl,remote,uk,l
2022,machine learning engineer,ml/ai,eur,181343,185117,jp,se,ft,hybrid,de,l
2022,statistician  in office,ml/ai,eur,148469,117236,de,ex,pt,remote,de,m
2020,data scientist  (remote),analysis,jpy,133434,131751,us,en,ct,hybrid,de,s
2021,data analyst  in office,data science,inr,56221,151918,de,se,fl,in-person,in,m
2022,data scientist  (remote),data science,us dolars,122799,78671,us,ex,pt,in-person,in,l
2021,statistician  in office,analysis,us dolars,86467,176398,cn,mi,fl,in-person,us,l
2021,statistician  (remote),engineering,inr,103269,133533,mx,ex,ct,in-person,uk,m
2020,data scientist,data science,jpy,141414,191711,mx,mi,ft,remote,de,m
2022,data scientist  in office,data science,inr,100585,90874,de,ex,ft,remote,us,l
2020,data scientist,analysis,jpy,73086,182350,cn,mi,ft,remote,mx,l
2020,statistician,engineering,gbp,140937,138459,jp,se,fl,hybrid,cn,s
2022,data engineer  in office,engineering,gbp,116624,123679,de,mi,pt,in-person,us,m
2022,data scientist  in office,ml/ai,jpy,111144,156750,de,se,ft,in-person,cn,m
2021,data analyst  (remote),ml/ai,inr,30638,100400,jp,se,ft,in-person,cn,s
2022,statistician  in office,analysis,gbp,100679,39676,us,ex,ft,remote,uk,l
2021,machine learning engineer  in office,engineering,inr,96760,34234,jp,se,ft,remote,in,l
2021,machine learning engineer  (remote),analysis,gbp,77234,182412,uk,en,ct,in-person,uk,s
2021,data analyst  (remote),ml/ai,inr,91049,142451,mx,mi,ct,hybrid,us,m
2020,data scientist  in office,analysis,eur,140406,169598,de,se,ct,in-person,uk,s
2021,statistician  in office,data science,jpy,170813,64626,uk,mi,ct,in-person,in,s
2020,data scientist,data science,us dolars,93004,31207,jp,mi,ct,in-person,us,s
2020,statistician,unknown,unknown,91489,159330,mx,unknown,fl,hybrid,uk,unknown
2022,machine learning engineer  in office,ml/ai,inr,52991,112844,cn,mi,ct,in-person,mx,l
2020,data scientist  (remote),analysis,inr,135711,82097,jp,ex,fl,remote,mx,s
2020,data analyst  in office,data science,jpy,187153,150069,in,ex,fl,hybrid,de,s
2022,data engineer  in office,data science,inr,152761,166501,uk,se,ct,hybrid,de,l
2021,data analyst,data science,gbp,87304,83591,mx,se,fl,in-person,uk,l
2020,data engineer  in office,ml/ai,inr,176714,168663,in,ex,ft,remote,uk,l
2022,data scientist  in office,ml/ai,jpy,105103,141248,uk,mi,pt,remote,cn,l
2020,data scientist,analysis,jpy,137163,199732,cn,mi,ct,in-person,mx,l
2020,data engineer,analysis,jpy,148778,107313,in,en,ct,in-person,cn,s
2021,machine learning engineer  (remote),analysis,eur,178471,134249,in,se,pt,remote,in,l
2020,statistician  (remote),data science,eur,63103,70459,uk,mi,ct,hybrid,us,l
2022,data analyst  (remote),engineering,eur,45330,132331,jp,mi,ct,hybrid,uk,s
2020,data analyst  in office,ml/ai,eur,177536,132599,us,se,pt,in-person,us,s
2021,data analyst  (remote),data science,eur,163206,108405,jp,ex,fl,in-person,de,m
2021,data scientist,data science,eur,154679,119399,us,mi,ft,remote,us,l
2022,data analyst  (remote),analysis,eur,79409,165733,uk,en,fl,remote,jp,m
2021,statistician  in office,analysis,jpy,30184,74802,de,mi,ft,remote,mx,m
2020,statistician  in office,data science,us dolars,151529,48782,jp,mi,pt,remote,in,s
2021,data engineer  (remote),ml/ai,eur,102799,140446,in,en,fl,in-person,mx,s
2022,data scientist  in office,ml/ai,jpy,85810,162970,jp,ex,fl,in-person,in,m
2021,statistician  in office,data science,us dolars,108727,97963,uk,en,ft,remote,us,m
2021,machine learning engineer  in office,engineering,eur,193806,106303,de,en,ft,in-person,in,m
2021,data scientist  (remote),engineering,us dolars,80546,113956,de,se,ft,in-person,us,m
2022,data scientist  in office,ml/ai,us dolars,65120,66123,jp,mi,ft,remote,us,l
2021,statistician  (remote),analysis,gbp,105036,86198,jp,ex,ct,hybrid,de,m
2021,machine learning engineer  (remote),engineering,inr,110528,82872,cn,mi,pt,hybrid,mx,s
2020,data engineer  in office,engineering,gbp,40133,34902,jp,ex,ft,remote,us,m
2022,statistician  (remote),analysis,us dolars,167477,187922,uk,en,fl,hybrid,in,m
2021,machine learning engineer  (remote),engineering,jpy,191341,78554,us,se,fl,in-person,jp,s
2022,data scientist  in office,data science,eur,126993,169352,cn,en,fl,hybrid,uk,m
2021,machine learning engineer  in office,engineering,inr,145742,110490,us,mi,ft,remote,in,s
2021,data scientist  (remote),analysis,eur,178157,87465,in,se,pt,remote,jp,l
2021,statistician,unknown,unknown,65702,198801,mx,unknown,ct,hybrid,in,unknown
2020,data analyst,ml/ai,gbp,76479,127143,cn,ex,ft,in-person,in,l
2020,data analyst,data science,us dolars,109384,148529,de,se,ct,hybrid,uk,l
2022,data analyst  (remote),data science,jpy,117957,108871,cn,ex,pt,hybrid,de,l
2022,statistician  in office,ml/ai,us dolars,44426,101713,in,ex,ft,hybrid,de,s
2020,data engineer,ml/ai,us dolars,176932,71206,de,ex,fl,in-person,uk,m
2022,statistician  in office,engineering,eur,76865,33926,cn,se,fl,hybrid,in,l
2021,machine learning engineer,engineering,jpy,77404,143682,de,en,ft,in-person,mx,m
2021,statistician,analysis,us dolars,121246,73056,jp,se,pt,in-person,jp,m
2021,statistician,analysis,gbp,87423,98495,de,en,fl,remote,us,l
2020,data scientist  in office,data science,inr,120947,114147,cn,se,fl,remote,in,l
2022,data scientist  in office,ml/ai,jpy,61152,195233,de,en,ct,in-person,uk,m
2020,data scientist,ml/ai,eur,133870,179479,uk,en,pt,in-person,cn,l
2021,data engineer,data science,eur,84325,159613,jp,ex,ct,remote,de,s
2020,machine learning engineer  (remote),data science,inr,199839,167711,in,ex,ct,in-person,in,l
2022,machine learning engineer  in office,analysis,gbp,163074,32478,jp,en,ct,remote,jp,m
2021,data engineer  (remote),analysis,jpy,146632,149147,uk,mi,pt,in-person,mx,s
2020,machine learning engineer  (remote),engineering,eur,85713,118373,in,se,pt,in-person,uk,m
2020,data analyst,data science,inr,71815,59974,us,se,ft,in-person,uk,l
2020,data scientist  (remote),data science,us dolars,117787,74183,de,se,pt,remote,jp,s
2021,data scientist  (remote),data science,inr,108243,169490,mx,mi,ct,hybrid,jp,m
2020,machine learning engineer,analysis,gbp,52743,130361,us,ex,fl,in-person,mx,s
2021,data engineer  (remote),analysis,us dolars,86739,87148,in,se,ft,hybrid,in,l
2021,data analyst  (remote),analysis,us dolars,149492,142007,jp,se,ft,hybrid,mx,l
2021,machine learning engineer,analysis,us dolars,128156,142239,uk,ex,ft,hybrid,in,s
2022,data scientist,ml/ai,eur,160275,138747,mx,en,ct,hybrid,cn,s
2020,statistician  (remote),analysis,us dolars,60339,192780,in,se,pt,hybrid,de,s
2020,data engineer  in office,unknown,unknown,64121,131245,us,unknown,ct,remote,de,unknown
2021,statistician,ml/ai,eur,144132,193996,mx,mi,fl,remote,jp,s
2021,machine learning engineer  in office,ml/ai,us dolars,71446,53382,us,se,pt,remote,us,m
2021,data analyst  in office,data science,inr,181770,140559,mx,ex,ft,remote,us,m
2020,statistician,analysis,jpy,126342,128099,cn,en,ft,in-person,uk,s
2022,data analyst  (remote),data science,inr,113404,60373,cn,en,ct,hybrid,in,m
2021,data scientist  (remote),analysis,gbp,77918,52791,in,se,pt,in-person,jp,l
2020,statistician  in office,analysis,us dolars,126666,53115,cn,se,ft,hybrid,de,s
2021,data analyst  in office,data science,us dolars,36125,178413,in,en,ct,hybrid,us,s
2020,data analyst,data science,us dolars,157422,143109,jp,en,fl,hybrid,de,l
2020,statistician,data science,inr,59046,177709,mx,se,ct,hybrid,in,m
2021,data scientist  in office,data science,inr,152618,185341,in,mi,pt,in-person,cn,l
2022,data analyst  in office,engineering,us dolars,40114,113489,de,se,pt,hybrid,cn,l
2020,machine learning engineer  (remote),data science,eur,30637,53877,uk,ex,pt,hybrid,jp,m
2020,statistician  in office,analysis,eur,68634,70273,uk,se,ft,remote,us,m
2020,data engineer  (remote),analysis,gbp,118713,86035,de,se,ct,hybrid,us,s
2022,data engineer  in office,engineering,jpy,65776,173477,us,se,fl,hybrid,cn,s
2022,data scientist  (remote),data science,gbp,184672,141141,us,se,pt,hybrid,jp,s
2021,machine learning engineer  (remote),analysis,us dolars,56809,71767,us,se,ct,hybrid,de,l
2022,data analyst  (remote),engineering,us dolars,184828,150456,mx,se,ft,hybrid,in,m
2021,data engineer,analysis,us dolars,68368,171045,us,mi,fl,hybrid,cn,m
2021,data scientist  (remote),engineering,jpy,107185,88565,jp,se,fl,in-person,cn,s
2022,machine learning engineer  in office,engineering,inr,157169,119461,de,en,fl,in-person,in,l
2021,machine learning engineer  in office,ml/ai,jpy,172952,158577,uk,se,ft,hybrid,in,l
2022,data scientist  in office,ml/ai,gbp,146193,140159,de,mi,pt,in-person,cn,m
2021,data scientist,data science,inr,117762,53091,uk,ex,ft,remote,de,m
2022,data analyst  (remote),ml/ai,inr,136745,49584,us,en,fl,remote,de,m
2022,data scientist,engineering,gbp,95316,134861,jp,se,ct,hybrid,us,m
2021,data analyst  (remote),unknown,unknown,100856,152235,in,unknown,fl,hybrid,de,unknown
2020,data analyst  in office,analysis,eur,169799,144688,in,en,ct,in-person,uk,s
2021,statistician  (remote),data science,gbp,69211,46550,cn,se,ft,remote,jp,m
2022,machine learning engineer,ml/ai,gbp,115469,163135,us,mi,ft,hybrid,de,m
2020,machine learning engineer,data science,eur,108930,122816,us,se,ft,remote,in,m
2021,machine learning engineer,engineering,jpy,71417,41631,de,ex,ct,in-person,de,l
2021,data analyst  in office,data science,jpy,50519,196481,jp,se,pt,hybrid,mx,l
2020,data analyst,analysis,inr,37983,80581,de,ex,fl,hybrid,jp,s
2022,data scientist,analysis,eur,74656,52485,jp,en,pt,remote,jp,l
2021,statistician,data science,gbp,35635,138539,mx,mi,ct,in-person,in,m
2021,data scientist  in office,data science,gbp,132373,113554,mx,se,ft,remote,jp,m
2021,statistician  (remote),data science,gbp,134555,104398,jp,se,fl,remote,uk,s
2021,data scientist  in office,engineering,inr,139883,162762,mx,en,ft,hybrid,jp,l
2021,data engineer  in office,engineering,inr,180694,45740,in,en,ft,in-person,cn,s
2022,machine learning engineer  in office,analysis,jpy,104975,118560,jp,mi,fl,in-person,in,l
2022,machine learning engineer  (remote),engineering,inr,123445,115877,mx,mi,fl,hybrid,jp,m
2021,data analyst,engineering,jpy,90666,39156,us,mi,pt,in-person,de,s
2022,machine learning engineer,engineering,gbp,86005,198286,us,se,pt,hybrid,cn,m
2020,data analyst,ml/ai,inr,137725,126589,us,mi,pt,in-person,cn,m
2022,data engineer  (remote),engineering,jpy,172475,93389,mx,se,pt,in-person,de,m
2021,machine learning engineer  (remote),analysis,eur,90477,163880,mx,en,ct,in-person,mx,m
2022,data scientist  in office,data science,eur,130405,100938,de,ex,ct,in-person,cn,m
2021,statistician  (remote),analysis,inr,95035,97500,cn,se,ft,remote,uk,m
2022,data engineer  (remote),engineering,gbp,193975,90734,jp,mi,ft,hybrid,uk,l
2021,data analyst  (remote),data science,gbp,168383,178278,jp,se,pt,hybrid,us,l
2021,data engineer,data science,jpy,127561,170701,jp,en,ft,hybrid,us,s
2021,data analyst  (remote),data science,inr,50615,62337,jp,mi,ct,hybrid,us,l
2021,data engineer  in office,ml/ai,eur,86808,117095,mx,ex,ct,remote,us,s
2020,data analyst  (remote),analysis,jpy,63580,93829,in,mi,ft,in-person,jp,l
2021,machine learning engineer  in office,ml/ai,jpy,153731,99830,uk,mi,pt,in-person,cn,l
2020,data scientist  in office,data science,us dolars,121856,76939,us,mi,ct,in-person,de,m
2020,machine learning engineer  (remote),analysis,inr,72898,42965,cn,se,fl,hybrid,uk,l
2021,data scientist,analysis,jpy,185024,42228,cn,ex,fl,remote,jp,l
2020,machine learning engineer  in office,engineering,eur,112790,78419,uk,en,ft,remote,us,l
2022,machine learning engineer  in office,ml/ai,us dolars,45227,126913,uk,se,pt,in-person,in,m
2021,data engineer  in office,ml/ai,eur,174832,79229,uk,ex,ft,hybrid,in,m
2020,statistician  (remote),engineering,gbp,38826,173894,mx,ex,pt,in-person,de,l
2021,data analyst  in office,ml/ai,us dolars,128972,60070,in,se,pt,hybrid,uk,s
2021,data analyst  (remote),data science,us dolars,113213,154045,uk,mi,fl,in-person,mx,l
2021,data analyst  in office,data science,jpy,169745,37135,in,ex,ct,in-person,uk,m
2020,data scientist,ml/ai,gbp,123402,129093,mx,en,ct,remote,de,m
2022,data analyst  in office,engineering,jpy,66158,129626,de,se,ft,hybrid,mx,s
2022,data analyst  (remote),analysis,inr,45904,69441,de,ex,ft,remote,us,m
2020,data engineer  (remote),ml/ai,eur,155212,146190,cn,en,pt,remote,us,m
2021,machine learning engineer  in office,analysis,eur,176468,179115,de,en,ct,in-person,cn,l
2020,data analyst  (remote),engineering,jpy,117469,126108,in,en,pt,hybrid,uk,s
2020,statistician,analysis,eur,84039,105043,in,en,fl,hybrid,uk,m
2020,data analyst  (remote),engineering,eur,34334,33062,us,se,fl,in-person,uk,m
2021,data scientist  in office,unknown,unknown,126996,120236,uk,unknown,pt,in-person,mx,unknown
2020,data scientist,data science,gbp,57268,82214,jp,se,pt,in-person,us,l
2021,data scientist  (remote),unknown,unknown,94636,83409,jp,unknown,pt,hybrid,in,unknown
2020,data analyst  in office,engineering,jpy,52068,171940,uk,en,pt,in-person,de,l
2022,data engineer  (remote),ml/ai,jpy,189319,98089,jp,se,pt,in-person,de,s
2020,statistician  in office,data science,inr,95121,124047,jp,mi,fl,remote,jp,l
2020,data analyst  (remote),engineering,inr,153761,47428,mx,ex,fl,in-person,jp,s
2022,data engineer  (remote),analysis,us dolars,46285,138283,jp,ex,fl,in-person,in,m
2021,data engineer,analysis,gbp,130539,199461,cn,se,ft,hybrid,uk,m
2021,data analyst,ml/ai,jpy,54136,64734,in,en,fl,in-person,in,l
2020,data analyst  (remote),analysis,inr,198859,95107,in,se,ct,hybrid,mx,l
2021,data engineer  in office,engineering,eur,48961,142168,uk,se,pt,remote,jp,m
2020,data engineer  (remote),analysis,jpy,194515,114170,de,ex,fl,hybrid,cn,m
2022,data analyst  (remote),analysis,gbp,48823,172751,cn,se,pt,in-person,jp,m
2021,data engineer,analysis,gbp,105409,185789,cn,ex,pt,hybrid,de,s
2022,data analyst  (remote),engineering,eur,134249,64782,us,ex,ct,in-person,in,l
2022,data scientist  in office,analysis,gbp,55852,100160,in,se,pt,in-person,us,s
2022,machine learning engineer,ml/ai,inr,67535,148296,mx,mi,ct,hybrid,jp,s
2022,data analyst,data science,jpy,37004,184175,cn,se,pt,remote,de,s
2020,machine learning engineer  (remote),ml/ai,eur,188895,83077,cn,se,pt,hybrid,uk,m
2022,data engineer,data science,inr,134913,58534,us,mi,pt,in-person,in,m
2021,data engineer  in office,ml/ai,jpy,84086,68636,jp,mi,ft,hybrid,jp,m
2021,statistician  (remote),data science,eur,37131,129108,cn,ex,ct,remote,us,m
2020,data engineer  (remote),unknown,unknown,55649,80486,cn,unknown,ct,hybrid,jp,unknown
2021,machine learning engineer  in office,data science,gbp,165171,124096,de,en,fl,remote,us,s
2022,data analyst,engineering,jpy,60580,63152,mx,se,fl,in-person,cn,s
2021,data engineer  in office,ml/ai,gbp,144163,139620,mx,en,pt,remote,us,s
2020,statistician  in office,data science,us dolars,124200,88952,jp,se,ft,hybrid,us,s
2022,data engineer  in office,ml/ai,inr,111118,49638,jp,mi,pt,hybrid,de,l
2022,machine learning engineer  in office,analysis,gbp,56469,147436,in,mi,pt,in-person,cn,l
2020,machine learning engineer,data science,jpy,95179,46396,de,ex,pt,hybrid,in,s
2022,data engineer,ml/ai,inr,54236,187855,jp,se,fl,in-person,jp,s
2022,machine learning engineer  in office,unknown,unknown,186182,166475,de,unknown,ft,hybrid,cn,unknown
2020,machine learning engineer  in office,ml/ai,us dolars,53430,53838,in,en,pt,hybrid,uk,s
2022,statistician  (remote),data science,jpy,74407,68919,mx,en,fl,remote,in,l
2020,data analyst  (remote),analysis,eur,199020,107895,us,en,pt,remote,cn,m
2020,statistician,ml/ai,us dolars,113299,77995,cn,se,ft,remote,in,l
2021,data scientist  (remote),analysis,us dolars,144496,183686,cn,ex,pt,hybrid,uk,m
2021,statistician  (remote),engineering,eur,112565,105593,uk,ex,pt,in-person,jp,m
2022,data engineer  (remote),ml/ai,eur,199252,161172,uk,en,ct,in-person,mx,s
2022,data analyst,ml/ai,us dolars,165724,124191,uk,ex,fl,in-person,de,l
2020,data engineer  (remote),engineering,inr,102370,100514,cn,mi,ft,remote,cn,l
2022,data scientist  in office,engineering,gbp,132755,40988,de,mi,fl,hybrid,jp,s
2020,data analyst,unknown,unknown,157845,149392,uk,unknown,ct,remote,uk,unknown
2020,machine learning engineer  (remote),data science,us dolars,168156,145137,us,mi,pt,hybrid,jp,m
2022,statistician,data science,inr,145052,107229,jp,ex,ft,hybrid,in,l
2020,data engineer  (remote),ml/ai,eur,163727,131471,de,mi,ft,hybrid,de,s
2021,data scientist,unknown,unknown,135737,68148,cn,unknown,fl,remote,us,unknown
2022,machine learning engineer  in office,ml/ai,jpy,166344,174895,us,mi,pt,hybrid,cn,l
2021,statistician  (remote),analysis,inr,161290,54696,mx,mi,ct,remote,jp,m
2022,machine learning engineer  (remote),engineering,jpy,126428,41629,cn,mi,pt,remote,us,m
2020,statistician,ml/ai,jpy,67471,164928,de,se,fl,hybrid,de,s
2022,data analyst  in office,engineering,us dolars,78762,61051,de,se,ft,hybrid,mx,m
2021,machine learning engineer  (remote),data science,inr,182587,63469,de,mi,ft,hybrid,us,m
2020,machine learning engineer  in office,engineering,jpy,195379,102372,in,mi,pt,remote,jp,m
2022,machine learning engineer  (remote),analysis,inr,179058,73406,jp,ex,pt,hybrid,uk,l
2022,data analyst  in office,analysis,gbp,114624,117754,uk,mi,pt,hybrid,cn,s
2022,data scientist  (remote),engineering,jpy,100600,65017,in,en,pt,in-person,in,l
2021,statistician,analysis,jpy,142092,40705,jp,se,ct,in-person,mx,l
2021,machine learning engineer,analysis,inr,148336,180678,cn,mi,ct,in-person,in,m
2022,data analyst  in office,data science,gbp,84888,116911,uk,se,ct,hybrid,cn,s
2020,data scientist  (remote),unknown,unknown,172675,122469,mx,unknown,ct,remote,us,unknown
2020,statistician  (remote),analysis,us dolars,98024,103654,in,en,fl,in-person,in,s
2021,data analyst  in office,ml/ai,inr,120728,196391,in,mi,ft,remote,cn,m
2020,statistician  (remote),engineering,inr,58897,122185,us,se,ft,in-person,cn,s
2021,machine learning engineer,engineering,jpy,179874,75318,mx,se,fl,in-person,in,s
2022,data scientist  (remote),analysis,gbp,177483,163286,mx,se,fl,remote,uk,m
2021,data analyst,engineering,jpy,90399,104070,in,ex,ct,in-person,us,m
2021,data scientist  in office,data science,eur,90692,79869,de,se,pt,remote,uk,l
2022,machine learning engineer  (remote),analysis,jpy,173842,196300,cn,mi,ft,hybrid,uk,l
2020,data scientist  in office,analysis,eur,103513,33255,mx,en,fl,hybrid,de,s
2021,data engineer  in office,engineering,inr,155041,57841,de,mi,ct,remote,mx,m
2022,data scientist  in office,engineering,inr,181409,35334,jp,ex,fl,hybrid,uk,l
2020,statistician  (remote),analysis,gbp,122901,135134,jp,mi,ft,remote,jp,m
2021,data analyst  in office,ml/ai,jpy,185579,70522,mx,se,ft,hybrid,in,s
2022,data engineer  in office,engineering,us dolars,89596,60697,de,ex,ft,hybrid,us,s
2021,data analyst  (remote),engineering,eur,100509,171794,us,mi,fl,remote,de,s
